fullname,description,type
dept,Department number,INTEGER
cat,Category number,INTEGER
store,Store number,INTEGER
fineline,Fineline number,INTEGER
prime_item,Item number,INTEGER
HO_retail,Home Office (HO) retail price,NUMERIC
Store_retail,Store retail price,NUMERIC
gate_dt,Gate date. Also called Out Of Stock (OOS) date.,DATE
gate_nbr,Gate number,INTEGER
on_hands,Quantity on hands. Also called inventory.,INTEGER
proj_inv_at_gate,Projected inventory at gate. Aslo called estimated starting inventory.,INTEGER
Daily_avg_unit_sales,Daily average unit sales,NUMERIC
prev_gate_date,Previous gate date,DATE
cmd_cat_nbr,CMD provided category number,INTEGER
recommended_retail,"Recommended retail price. This is price after markdown, also called markdown price.",NUMERIC
group_retail,Group retail price. This is the price before markdown also called the markdown prior price.,NUMERIC
mkdn_pct,Markdown percentage,NUMERIC
mkdn_spend,Estimated markdown spend,NUMERIC
est_gate_sales,Estimated gate sales. Also called estimated unit sales.,NUMERIC
elasticity_val,Elasticity value,NUMERIC
str_expected_w_MD,Sell Through Rate (STR) expected with markdown. Also called just Sell Through Rate (STR).,NUMERIC
str_expected_no_MD,Sell Through Rate (STR) expected without markdown,NUMERIC
max_possible_STR,Maximum possible Sell Through Rate (STR),NUMERIC
min_price_point,minimum price point,NUMERIC
max_price_point,maximum price point,NUMERIC
target_str,target Sell Through Rate (STR),NUMERIC
markdown_reason,Markdown reason,STRING
plan_id,Plan ID,INTEGER
created_timestamp,plan creation timestamp,TIMESTAMP
upstream_inv,Upstream inventory,INTEGER
