Dept_nbr,Dept_desc,SBU
34,WOMENS APPAREL,APPAREL
33,GIRLS APPAREL,APPAREL
24,BOYS APPAREL,APPAREL
31,ACCESSORIES,APPAREL
26,INFANT APPAREL,APPAREL
25,SHOES,APPAREL
41,COLLEGE & PRO,APPAREL
29,INTIMATE APPAREL,APPAREL
23,MENS APPAREL,APPAREL
7,TOYS,ENTERTAINMENT TOYS AND SEASONAL
32,JEWELRY,APPAREL
50,OPTICAL,UNASSIGNED
16,LAWN AND GARDEN,HARDLINES
9,SPORTING GOODS,HARDLINES
14,COOK AND DINE,HOME
87,WIRELESS,ENTERTAINMENT TOYS AND SEASONAL
22,BEDDING,HOME
20,BATH AND SHOWER,HOME
44,"ARTS, CRAFTS, SEWING & FABRICS",HOME
17,HOME DECOR,HOME
6,CAMERAS & SUPPLIES,ENTERTAINMENT TOYS AND SEASONAL
3,STATIONERY,HARDLINES
72,ELECTRONICS,ENTERTAINMENT TOYS AND SEASONAL
52,"ARTS, CRAFTS, SEWING & FABRICS",HOME
19,"ARTS, CRAFTS, SEWING & FABRICS",HOME
82,IMPULSE MERCHANDISE,FOOD
71,FURNITURE,HOME
11,HARDWARE,HARDLINES
74,HOME MANAGEMENT,HOME
47,JEWELRY,APPAREL
56,HORTICULTURE,HARDLINES
67,CELEBRATION,ENTERTAINMENT TOYS AND SEASONAL
12,PAINT & ACCESSORIES,HARDLINES
55,ELECTRONICS,ENTERTAINMENT TOYS AND SEASONAL
46,BEAUTY,CONSUMABLES
79,INFANT CONSUMABLE HARDLINES,CONSUMABLES
35,PLUS SIZES/MATERNITY,APPAREL
10,AUTOMOTIVE,HARDLINES
5,MEDIA AND GAMING,ENTERTAINMENT TOYS AND SEASONAL
59,BEAUTY,CONSUMABLES
96,LIQUOR,FOOD
40,OTC PHARMACY,CONSUMABLES
8,PETS & SUPPLIES,CONSUMABLES
2,PERSONAL CARE,CONSUMABLES
77,LARGE HOUSEHOLD GOODS,ENTERTAINMENT TOYS AND SEASONAL
21,BOOKS AND MAGAZINES,ENTERTAINMENT TOYS AND SEASONAL
18,SEASONAL,ENTERTAINMENT TOYS AND SEASONAL
48,FIREARMS,HARDLINES
91,FROZEN,FOOD
42,MOTOR OIL,HARDLINES
13,CLEANING,CONSUMABLES
92,GROCERY,FOOD
49,OPTICAL,HEALTH AND WELLNESS
1,CANDY,FOOD
95,DSD GROCERY,FOOD
36,WOMENS OUTERWEAR,APPAREL
98,BAKERY,FOOD
90,DAIRY,FOOD
85,ONE HOUR PHOTO,ENTERTAINMENT TOYS AND SEASONAL
93,MEAT,FOOD
51,SPORTING GOODS,HARDLINES
99,OFFICE & STORE,ENTERTAINMENT TOYS AND SEASONAL
4,HOUSEHOLD PAPER,CONSUMABLES
97,WALL DELI,FOOD
81,COM BREAD,FOOD
54,JEWELRY,APPAREL
38,PHARMACY RX,UNASSIGNED
94,PRODUCE,FOOD
80,SERVICE DELI,FOOD
45,AIDCO,HARDLINES
57,HEARING CENTER,HEALTH AND WELLNESS
27,FAMILY SOCKS,APPAREL
30,FOUNDATIONS,APPAREL
60,STAMPS,UNASSIGNED
69,WAL-MART ONLINE,UNASSIGNED
86,WALMART SERVICES,UNASSIGNED
15,HEALTH AND WELLNESS CLINICS,HEALTH AND WELLNESS
28,HOSIERY,APPAREL
37,AUTO SERVICE,HARDLINES
39,CONSUMER SERVICES,UNASSIGNED
43,TOYS,ENTERTAINMENT TOYS AND SEASONAL
53,"CARDS,BOOKS,MAGAZINE",UNASSIGNED
58,WIRELESS SERVICE INC,ENTERTAINMENT TOYS AND SEASONAL
61,SAMS,UNASSIGNED
62,SAMS,UNASSIGNED
63,SAMS,UNASSIGNED
64,SAMS,UNASSIGNED
65,GASOLINE,UNASSIGNED
66,WALMART-ENERGY,UNASSIGNED
70,STORE USE ONLY,UNASSIGNED
73,BOOKS - MAGAZINES,UNASSIGNED
75,OPTICAL - DOCTORS,UNASSIGNED
76,ACADEMY,UNASSIGNED
78,WOMENS APPAREL,UNASSIGNED
83,SEAFOOD,UNASSIGNED
84,BALLOONS & FLOWERS,UNASSIGNED
88,PMDCSIGNINIG,UNASSIGNED
89,TRAVEL,UNASSIGNED
