fullname,type,description
STORE_SK_ID,INT64,
CURRENT_IND,STRING,
SNAPSHOT_BEG_DATE,DATE,
SNAPSHOT_END_DATE,DATE,
DW_CURR_PARTITION_NBR,INT64,
DW_COUNTRY_DIV_PART_NBR,INT64,
STORE_NAME,STRING,
COUNTRY_CODE,STRING,
STORE_NBR,INT64,
OPEN_DATE,DATE,
CLOSE_DATE,DATE,
STREET_ADDR_LINE1,STRING,
CITY_NAME,STRING,
STATE_PROV_CODE,STRING,
POSTAL_CODE,STRING,
SUBDIV_NBR,STRING,
SUBDIV_NAME,STRING,
REGION_NBR,INT64,
REGION_NAME,STRING,
MARKET_AREA_NBR,INT64,
MARKET_AREA_NAME,STRING,
PRIMARY_TRAIT_NAME,STRING,
COUNTY_NAME,STRING,
PHONE_NBR,STRING,
STORE_SIZE_QTY,INT64,
STORE_SIZE_UOM_CODE,STRING,
STORE_SIZE_UOM_DESC,STRING,
OPEN_SUNDAY_IND,STRING,
OPEN_STATUS_CODE,STRING,
OPEN_STATUS_DESC,STRING,
EXPANSION_OPEN_DATE,DATE,
EXPANSION_SIZE_QTY,INT64,
RELOCATION_FLIP_DATE,DATE,
PREPROCESS_DATE,DATE,
REAL_STORE_NBR,INT64,
TEMP_STORE_NBR,INT64,
TEMP_STORE_IND,STRING,
POSSESSION_DATE,DATE,
DRY_RUN_DATE,DATE,
GRAND_OPEN_DATE,DATE,
STORE_TYPE_CODE,STRING,
STORE_TYPE_DESC,STRING,
SIZE_CLASS_CODE,INT64,
SALES_CLASS_CODE,INT64,
STORE_COMP_CODE,STRING,
STORE_COMP_DESC,STRING,
STORE_COMP_IND,STRING,
FINANCIAL_RPT_CODE,STRING,
FINANCIAL_RPT_DESC,STRING,
DELIVERY_TYPE_CODE,STRING,
DELIVERY_TYPE_DESC,STRING,
PROTOTYPE_NBR,STRING,
TIME_ZONE_CODE,STRING,
LATITUDE_DGR,NUMERIC,
LONGITUDE_DGR,NUMERIC,
APPAREL_ZONE_NBR,INT64,
MDSE_MAJOR_ZONE_NBR,INT64,
MDSE_SUB_ZONE_NBR,INT64,
BANNER_CODE,STRING,
BANNER_DESC,STRING,
STORE_MGR_NAME,STRING,
BUO_AREA_NBR,INT64,
BASE_DIV_NBR,INT64,
BUO_AREA_NAME,STRING,
SUBREGION_NBR,INT64,
SUBREGION_NAME,STRING,
BUO_AREA_MGR_NAME,STRING,
SUBDIV_MGR_NAME,STRING,
REGION_MGR_NAME,STRING,
SUBREGION_MGR_NAME,STRING,
MARKET_AREA_MGR_NAME,STRING,
